,rep_date,marketplaceid,cat_id,category_name,parent_ids,parent_names,CategoryId,SubCategoryId,CategoryName,SubCategoryName
2534,4/12/2022 5:45,ATVPDKIKX0DER,166294011,Science Kits & Toys,165795011 > 166269011,Toys And Games > Learning & Education,165795011,166269011,Toys And Games , Learning & Education
2535,4/12/2022 5:45,ATVPDKIKX0DER,2488783011,Solar Power Kits,165795011 > 166269011,Toys And Games > Learning & Education,165795011,166269011,Toys And Games , Learning & Education
2536,4/12/2022 5:45,ATVPDKIKX0DER,166027011,Novelty & Gag Toys,165795011,Toys And Games,165795011,,Toys And Games,
2537,4/12/2022 5:45,ATVPDKIKX0DER,5483953011,Executive Desk Toys,165795011 > 166027011,Toys And Games > Novelty & Gag Toys,165795011,166027011,Toys And Games , Novelty & Gag Toys
2538,4/12/2022 5:45,ATVPDKIKX0DER,17238448011,Fidget Toys,165795011 > 166027011,Toys And Games > Novelty & Gag Toys,165795011,166027011,Toys And Games , Novelty & Gag Toys
2539,4/12/2022 5:45,ATVPDKIKX0DER,166032011,Flying Toys,165795011 > 166027011,Toys And Games > Novelty & Gag Toys,165795011,166027011,Toys And Games , Novelty & Gag Toys
2540,4/12/2022 5:45,ATVPDKIKX0DER,166033011,Fortune Telling Toys,165795011 > 166027011,Toys And Games > Novelty & Gag Toys,165795011,166027011,Toys And Games , Novelty & Gag Toys
2541,4/12/2022 5:45,ATVPDKIKX0DER,166034011,Gag Toys & Practical Jokes,165795011 > 166027011,Toys And Games > Novelty & Gag Toys,165795011,166027011,Toys And Games , Novelty & Gag Toys
2542,4/12/2022 5:45,ATVPDKIKX0DER,166037011,Juggling Sets,165795011 > 166027011,Toys And Games > Novelty & Gag Toys,165795011,166027011,Toys And Games , Novelty & Gag Toys
2543,4/12/2022 5:45,ATVPDKIKX0DER,166355011,Magic Kits & Accessories,165795011 > 166027011,Toys And Games > Novelty & Gag Toys,165795011,166027011,Toys And Games , Novelty & Gag Toys
2544,4/12/2022 5:45,ATVPDKIKX0DER,166039011,Magnets & Magnetic Toys,165795011 > 166027011,Toys And Games > Novelty & Gag Toys,165795011,166027011,Toys And Games , Novelty & Gag Toys
2545,4/12/2022 5:45,ATVPDKIKX0DER,166040011,Miniatures,165795011 > 166027011,Toys And Games > Novelty & Gag Toys,165795011,166027011,Toys And Games , Novelty & Gag Toys
2546,4/12/2022 5:45,ATVPDKIKX0DER,2491218011,Money Banks,165795011 > 166027011,Toys And Games > Novelty & Gag Toys,165795011,166027011,Toys And Games , Novelty & Gag Toys
2547,4/12/2022 5:45,ATVPDKIKX0DER,166041011,Nesting Dolls,165795011 > 166027011,Toys And Games > Novelty & Gag Toys,165795011,166027011,Toys And Games , Novelty & Gag Toys
2548,4/12/2022 5:45,ATVPDKIKX0DER,2735439011,Novelty Spinning Tops,165795011 > 166027011,Toys And Games > Novelty & Gag Toys,165795011,166027011,Toys And Games , Novelty & Gag Toys
2549,4/12/2022 5:45,ATVPDKIKX0DER,166045011,Popping & Jumping Toys,165795011 > 166027011,Toys And Games > Novelty & Gag Toys,165795011,166027011,Toys And Games , Novelty & Gag Toys
2550,4/12/2022 5:45,ATVPDKIKX0DER,166046011,Prisms & Kaleidoscopes,165795011 > 166027011,Toys And Games > Novelty & Gag Toys,165795011,166027011,Toys And Games , Novelty & Gag Toys
2551,4/12/2022 5:45,ATVPDKIKX0DER,166047011,Slime & Putty Toys,165795011 > 166027011,Toys And Games > Novelty & Gag Toys,165795011,166027011,Toys And Games , Novelty & Gag Toys
